nbSain,nbInfection,nbMorts,nbConfiner,nbMaks
9998,2,0,0,0
9973,27,0,0,0
9788,212,0,0,5199
8793,1205,2,0,5253
5975,4013,12,141,5474
4212,5732,56,1037,5335
5822,3962,216,3417,4926
7893,1724,383,4300,3637
8896,649,455,4361,3105
9296,223,481,4368,3081
9412,100,488,4370,3070
9437,73,490,4370,3103
9456,52,492,4370,3088
9459,47,494,4370,3062
9459,44,497,4370,3090
9465,37,498,4370,3121
9454,46,500,4370,3017
9454,45,501,4370,3050
9454,43,503,4229,3117
9446,50,504,3333,3183
9421,74,505,959,3732
9400,91,509,96,5036
9374,115,511,85,5557
9354,131,515,128,5404
9351,134,515,172,5476
9350,133,517,230,5437
9333,145,522,293,5392
9339,137,524,354,5360
9357,115,528,429,5280
9348,122,530,492,5315
9378,90,532,529,5192
9409,56,535,563,5195
9415,49,536,589,5184
9410,54,536,602,5189
9401,63,536,607,5161
9397,65,538,607,5094
9397,64,539,574,5226
9403,56,541,539,5126
9414,45,541,510,5217
9400,58,542,466,5233
9403,55,542,419,5202
9394,63,543,380,5221
9393,62,545,327,5332
9403,51,546,273,5297
9402,50,548,252,5393
9404,47,549,236,5309
9404,45,551,231,5348
9414,33,553,235,5362
9414,33,553,241,5427
9404,43,553,236,5369
9413,34,553,226,5365
9420,25,555,220,5397
9416,29,555,220,5450
9414,30,556,218,5374
9419,24,557,205,5408
9409,34,557,192,5449
9410,33,557,175,5289
9412,29,559,177,5441
9406,35,559,167,5461
9409,30,561,154,5445
9411,25,564,137,5473
9406,29,565,133,5392
9405,28,567,127,5358
9402,30,568,118,5413
9400,32,568,118,5429
9400,32,568,121,5428
9407,25,568,106,5425
9407,24,569,96,5466
9402,29,569,97,5443
9401,29,570,92,5463
9401,27,572,99,5477
9399,28,573,91,5515
9394,32,574,92,5384
9397,29,574,90,5520
9402,23,575,89,5475
9390,34,576,80,5508
9390,34,576,76,5497
9391,32,577,80,5459
9398,23,579,83,5518
9393,28,579,78,5449
9393,28,579,83,5346
9394,27,579,88,5436
9396,23,581,91,5358
9393,24,583,93,5534
9397,20,583,85,5395
9399,18,583,86,5409
9399,18,583,85,5480
9393,24,583,85,5368
9390,25,585,85,5529
9386,27,587,82,5403
9385,28,587,83,5367
9387,25,588,82,5498
9387,25,588,75,5421
9389,23,588,73,5511
9396,16,588,67,5373
9399,12,589,64,5470
9397,14,589,61,5462
9395,16,589,55,5523
9395,15,590,51,5527
9395,14,591,54,5476
9388,20,592,48,5501
